Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:Цвет;Characteristics:Размер;Characteristics:Состав;Weight;Length;Width;Height
3,47521E+11;;;;Комбинезоны;Комбинезон Fix Shape;;;https://static.tildacdn.com/stor3032-3561-4365-a236-306535616331/16516734.jpg;;;;;;Dxo9hBa7LiZr2Bctj1b0;;оранжевый;M/L (44-46);22% эластан, 78% полиэстер;0;0;0;0
5,19369E+11;;RE-OV-ORG-01;;;Комбинезон Fix Shape / XS- XS;;;;13190.00;2;;Размеры:XS;;0nHmGOalsdgKenbnli6a;3,47521E+11;;;;0;0;0;0
3,504E+11;;RE-OV-ORG-02;;;Комбинезон Fix Shape / M-L- M-L;;;;13190.00;2;;Размеры:M-L;;t1UgdUUXOAYv3y0yhdxe;3,47521E+11;;;;0;0;0;0
4,21427E+11;;;;Комбинезоны;Комбинезон everrever;Комбинезон everrever;;https://static.tildacdn.com/stor3563-6264-4065-b062-353631353433/83245068.jpg;;;;;;jfc7f4RTeofJ3TkGaK0N;;мультиколор;;70%полиэстер , 30% эластан;0;0;0;0
5,52271E+11;;RE-OV-MC-05;;;Комбинезон everrever / xs/s- xs/s;;;;12490.00;8;;Размеры:xs/s;;xoobH2U4etKe4ey9s5G0;4,21427E+11;;;;0;0;0;0
4,95631E+11;;RE-OV-MC-06;;;Комбинезон everrever / m/l- m/l;;;;12490.00;8;;Размеры:m/l;;9BbRVSTjXcgiP2riUe5g;4,21427E+11;;;;0;0;0;0
2,33647E+11;;;;"Топы и футболки;SOFT TOUCH";Лонгслив;;;https://static.tildacdn.com/stor3066-6534-4263-a237-613337343930/14784257.jpg;;;;;;jyrj3fItZGx768xFrLGR;;розовый;;70% вискоза , 25% полиэстер , 5% эластан;0;0;0;0
6,16216E+11;;RE-LS-PIN-01;;;Лонгслив / XS/S (40-42)- XS/S (40-42);;;;5590.00;0;;Размеры:XS/S (40-42);;RKiCPaBCDuuZulKPRejD;2,33647E+11;;;;0;0;0;0
8,55061E+11;;RE-LS-PIN-02;;;Лонгслив / M/L (44-46)- M/L (44-46);;;;5590.00;3;;Размеры:M/L (44-46);;6HIPDNE78kbLXOHFuFDH;2,33647E+11;;;;0;0;0;0
7,37715E+11;;;;"Комбинезоны;everrever by Victoria Demidova";Комбинезон с принтом;;;https://static.tildacdn.com/stor3163-3630-4230-b963-613031666338/80526418.jpg;;;;;;biZj8Bro06YtL3rY9CYd;;мультиколор;;82% нейлон , 18% спандекс;0;0;0;0
6,0833E+11;;RE-OV-MCV-01;;;Комбинезон с принтом / xs (40)- xs (40);;;;11790.00;9;;Размеры:xs (40);;IydkIeUNcjIMYERFE03n;7,37715E+11;;;;0;0;0;0
